Country,State,District,Year,Residence Type,"Women In The Age Group Of 20 To 24 Years Married Before Age 18 Years (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Had At Least 4 Antenatal Care Visits (%) (UOM:%(Percentage)), Scaling Factor:1","Registered Pregnancies For Which The Mother Received A Mother And Child Protection Card (Mcp)(%) (UOM:%(Percentage)), Scaling Factor:1","Average Out Of Pocket Expenditure For Each Delivery In Public Health Facility (UOM:INR(IndianRupees)), Scaling Factor:1","Institutional Births (%) (UOM:%(Percentage)), Scaling Factor:1","Institutional Births In Public Facility (%) (UOM:%(Percentage)), Scaling Factor:1","Children In The Age Group Of 12 To 23 Months Who Are Fully Immunized (Bacille Calmette-Guerin (Bcg), Measles, And 3 Doses Each Of Polio And Dpt) (%) (UOM:%(Percentage)), Scaling Factor:1","Population Living In Households With Electricity (%) (UOM:%(Percentage)), Scaling Factor:1","Children Under 5 Years Who Are Stunted (Height-For-Age) (%) (UOM:%(Percentage)), Scaling Factor:1","Population Living In Households With An Improved Drinking-Water Source (%) (UOM:%(Percentage)), Scaling Factor:1","Non-Pregnant Women Age Group 15 To 49 Years Who Are Anaemic (%) (UOM:%(Percentage)), Scaling Factor:1","Pregnant Women Age Group 15 To 49 Years Who Are Anaemic (%) (UOM:%(Percentage)), Scaling Factor:1","Women With 10 Or More Years Of Schooling In The Age Group Of 15 To 49 Years (%) (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2015",Rural,8.3,64.9,100,1787,96.1,96.1,45.5,99.4,20.3,99.8,54.5,,43.7
India,Andaman And Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2015",Urban,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2015",Total,8.3,64.9,100,1787,96.1,96.1,45.5,99.4,20.3,99.8,54.5,,43.7
India,Andaman And Nicobar Islands,North And Middle Andaman,"Financial Year (Apr - Mar), 2015",ahoi,26.1,95.1,99.4,1131,94.8,91.8,88.8,92.3,33.3,90,65,54.1,38.6
India,Andaman And Nicobar Islands,North And Middle Andaman,"Financial Year (Apr - Mar), 2015",Urban,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Financial Year (Apr - Mar), 2015",Total,24.7,95.2,99.4,1105,95,91.5,89.1,92.5,32.5,90.3,65.1,51.5,39.2
India,Andaman And Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2015",Rural,16.3,89.9,93.6,1997,95.1,91.7,,96.9,24.8,87.7,70.1,,46.1
India,Andaman And Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2015",Urban,12.4,95.8,98.8,810,98.3,91.9,61.1,99.8,17.3,100,65.2,,57.5
India,Andaman And Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2015",Total,14.1,93.4,96.7,1298,97,91.8,69.1,98.7,20.1,95.5,67,,53.2
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2015",Rural,24.6,74.6,95,3823,86.6,47.9,76.4,99,38.7,69.5,49.8,,28.8
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2015",Urban,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2015",Total,29,77.5,93.5,3601,89.9,46.9,76.3,99.1,40.3,61.3,52.8,,30.8
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2015",Rural,32.1,70.8,93.4,1544,92.7,61.7,74.1,98.2,31.7,76.3,48.2,,34.9
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2015",Urban,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2015",Total,26.6,70.4,90.7,1723,94,53,67.6,98.6,31.4,65.3,48.4,58.9,39
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2015",Rural,39,74.9,93.6,1914,96.7,42.3,58.2,98.8,29.7,82.1,69.9,,28.2
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2015",Urban,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2015",Total,31.6,77.2,90.8,1953,96.9,41.6,60.3,99.1,27.7,82.1,64.9,56.2,35.5
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2015",Rural,38.5,70.6,98.5,1440,96.5,41.5,,99.3,23.4,71.7,62,,22.3
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2015",Urban,39.6,64.7,85.9,,99,25.6,,99.8,19.9,80.6,54,,42.5
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2015",Total,38.9,68.3,93.9,1452,97.5,35.2,61.7,99.5,22.1,74.8,59,33.5,30.1
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2015",Rural,34.1,90.9,98.8,3091,95,38.4,,98.8,23.8,62.2,60.1,,30.1
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2015",Urban,27.6,83.8,91.3,,99,33.9,,99.4,20.2,83.1,58.9,,53.1
