Country,State,District,Year,"Average Out Of Pocket Expenditure For Each Delivery In Public Health Facility (UOM:INR(IndianRupees)), Scaling Factor:1","Children In The Age Group Of 12 To 23 Months Who Are Fully Immunized (Bacille Calmette-Guerin (Bcg), Measles, And 3 Doses Each Of Polio And Dpt) (%) (UOM:%(Percentage)), Scaling Factor:1","Children Under 5 Years Who Are Stunted (Height-For-Age) (%) (UOM:%(Percentage)), Scaling Factor:1","Institutional Births (%) (UOM:%(Percentage)), Scaling Factor:1","Institutional Births In Public Facility (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Had At Least 4 Antenatal Care Visits (%) (UOM:%(Percentage)), Scaling Factor:1","Non-Pregnant Women Age Group 15 To 49 Years Who Are Anaemic (%) (UOM:%(Percentage)), Scaling Factor:1","Population Living In Households With An Improved Drinking Water Source (%) (UOM:%(Percentage)), Scaling Factor:1","Population Living In Households With Electricity (%) (UOM:%(Percentage)), Scaling Factor:1","Pregnant Women Age Group 15 To 49 Years Who Are Anaemic (%) (UOM:%(Percentage)), Scaling Factor:1","Registered Pregnancies For Which The Mother Received A Mother And Child Protection Card (Mcp)(%) (UOM:%(Percentage)), Scaling Factor:1","Women Age Group 20 To 24 Years Married Before Age 18 Years (%) (UOM:%(Percentage)), Scaling Factor:1","Women With 10 Or More Years Of Schooling (%) (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,Nicobars,"Calendar Year (Jan - Dec), 2019",2278,72.175,21.6,97.8,96.7,71.7,38.4,98.8,97.9,0,97.9,11.4,53.5
India,Andaman And Nicobar Islands,North And Middle Andaman,"Calendar Year (Jan - Dec), 2019",1904,0,27,97.7,95,79.2,62.5,92.2,93.2,0,99.2,15.4,41
India,Andaman And Nicobar Islands,South Andamans,"Calendar Year (Jan - Dec), 2019",3460,88.875,21.1,99.5,83.8,85.9,57.6,97.9,99.6,0,98.9,17.1,57.5
India,Andhra Pradesh,Ananthapuramu,"Calendar Year (Jan - Dec), 2019",2682,90.15,36,94.7,60.3,66.6,50.3,98.8,99.6,54.9,100,37.3,31.3
India,Andhra Pradesh,Chittoor,"Calendar Year (Jan - Dec), 2019",2533,86.075,27.1,97.1,66.5,65.3,51.8,98.5,99.7,52.7,98.2,28.1,40.3
India,Andhra Pradesh,East Godavari,"Calendar Year (Jan - Dec), 2019",8159,79.9,23.1,96.6,46,51,63.2,97.9,98.8,0,91.4,26,43.2
India,Andhra Pradesh,Guntur,"Calendar Year (Jan - Dec), 2019",3912,90.975,23.8,98.6,49.6,62.5,59.8,99.3,99.2,51.9,96,35.4,32.6
India,Andhra Pradesh,Krishna,"Calendar Year (Jan - Dec), 2019",3715,91.95,29.8,98.9,40.1,73.3,60.4,94.4,99.6,0,96.4,25.3,46.2
India,Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2019",2094,83.825,50.5,88.5,51.1,74.3,58.3,97.9,99.9,67.8,95.6,36.9,33.4
India,Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2019",0,71.4,22.6,97.4,18.1,73.4,60.6,98.6,99.3,0,92.8,37.3,34.5
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Calendar Year (Jan - Dec), 2019",1104,80.2,29.2,97,34.9,73,59.6,95.6,99.1,0,92.8,23.8,38.7
India,Andhra Pradesh,Srikakulam,"Calendar Year (Jan - Dec), 2019",3479,89.775,19.7,97.9,52.2,78.4,62.8,87.7,99.9,0,100,25.4,42.5
India,Andhra Pradesh,Visakhapatnam,"Calendar Year (Jan - Dec), 2019",2200,90,31,95.3,69.3,58.6,58.6,91.8,99.6,0,97,25.4,46
India,Andhra Pradesh,Vizianagaram,"Calendar Year (Jan - Dec), 2019",1931,89.9,36.4,99,70.6,71.4,64.6,93.1,99.5,0,98.8,33.7,37.6
India,Andhra Pradesh,West Godavari,"Calendar Year (Jan - Dec), 2019",2318,88.875,31.4,98.7,48.8,62.7,63.1,99.1,99.3,0,100,22.1,46.5
India,Andhra Pradesh,Y.S.R.,"Calendar Year (Jan - Dec), 2019",3389,88.625,34.4,99.4,40.7,82.8,56.1,99.9,99.8,57.6,97.7,25.6,40
India,Arunachal Pradesh,Anjaw,"Calendar Year (Jan - Dec), 2019",6515,97.05,23.6,78,76.9,32.3,36.9,86.6,96.4,19.7,97.9,21.8,28.8
India,Arunachal Pradesh,Changlang,"Calendar Year (Jan - Dec), 2019",6643,81.45,26.3,75.1,69.3,46.9,57.1,81.8,95.2,60.6,99.3,16.8,30.5
India,Arunachal Pradesh,Dibang Valley,"Calendar Year (Jan - Dec), 2019",7050,92.35,16.9,85.5,78.8,40.4,64.3,100,79.2,39,95.8,20.7,43.2
India,Arunachal Pradesh,East Kameng,"Calendar Year (Jan - Dec), 2019",8612,75.825,35.7,76,74.2,29.1,26.9,93.6,86.3,13.1,93,26.5,31.8
India,Arunachal Pradesh,East Siang,"Calendar Year (Jan - Dec), 2019",12217,74.225,24.6,90.8,85.4,34.3,35.3,97.3,97.3,32.8,94.4,14.9,55.6
India,Arunachal Pradesh,Kra Daadi,"Calendar Year (Jan - Dec), 2019",20101,76.05,28.8,73.5,69.4,18.3,24.3,99.8,99.7,2,97.7,24.8,27.4
India,Arunachal Pradesh,Kurung Kumey,"Calendar Year (Jan - Dec), 2019",9838,86.875,29.2,69.2,64.2,44.1,35.5,99.8,99.2,,97,19.8,34.7
India,Arunachal Pradesh,Lohit,"Calendar Year (Jan - Dec), 2019",8236,87.675,24.5,90.2,84.6,39.6,47.6,96.9,98.9,33.2,96.9,20,37.3
India,Arunachal Pradesh,Longding,"Calendar Year (Jan - Dec), 2019",3778,62.1,15.8,64.5,62.8,39.6,35,62.5,97.4,19.1,97,7.9,27.7
India,Arunachal Pradesh,Lower Dibang Valley,"Calendar Year (Jan - Dec), 2019",6112,82.1,14.3,90.1,86.8,48.6,35.3,99.5,84.4,19.6,97.2,13.8,51.9
India,Arunachal Pradesh,Lower Subansiri,"Calendar Year (Jan - Dec), 2019",10266,76.725,30.7,89.8,86.8,39.1,41.1,98.1,97.8,22.1,92.3,16,49.9
India,Arunachal Pradesh,Namsai,"Calendar Year (Jan - Dec), 2019",4184,78.6,28.7,63.6,60.3,35.4,58.8,93.5,96.5,52.6,94.6,26.7,22.2
India,Arunachal Pradesh,Papum Pare,"Calendar Year (Jan - Dec), 2019",17185,76.4,29.7,88,77.3,39.3,39.4,92.9,98.7,18.6,91.4,25.4,50.5
India,Arunachal Pradesh,Siang,"Calendar Year (Jan - Dec), 2019",8478,74.925,21.3,81.1,79,31.1,24.4,96.3,99.6,15.4,97.1,10,50.6
India,Arunachal Pradesh,Tawang,"Calendar Year (Jan - Dec), 2019",5345,83.775,30.4,84.2,83.8,37.6,59.2,99.8,99.7,57.4,99.6,11.9,39.2
India,Arunachal Pradesh,Tirap,"Calendar Year (Jan - Dec), 2019",12104,77.55,38.6,70.2,62.8,35.7,32.4,93.8,98.8,24.1,97.6,12,40.2
India,Arunachal Pradesh,Upper Siang,"Calendar Year (Jan - Dec), 2019",12365,72.4,30.4,76,74.9,34,29.4,99.8,99.5,22.4,97.1,17.1,34.8
India,Arunachal Pradesh,Upper Subansiri,"Calendar Year (Jan - Dec), 2019",10087,81.025,36.8,77,76.2,32.1,36.6,94.7,87,37.9,98.6,26.7,31.8
India,Arunachal Pradesh,West Kameng,"Calendar Year (Jan - Dec), 2019",7645,72.15,24.2,93.6,92,27.6,38.4,99.8,97.5,18.2,90.1,12.5,43.6
India,Arunachal Pradesh,West Siang,"Calendar Year (Jan - Dec), 2019",14222,81.4,24.5,84.6,79.8,30.4,31.2,99.1,88.2,16.8,92.1,18.9,46.3
India,Assam,Baksa,"Calendar Year (Jan - Dec), 2019",7312,87.75,41.2,89.9,82.2,56,73.8,89.8,98.1,65.3,99.8,24.9,27.8
India,Assam,Barpeta,"Calendar Year (Jan - Dec), 2019",4829,79.8,29.8,87.6,82.3,43.6,65.6,98.1,88.9,47.6,99.1,40.1,31.7
India,Assam,Biswanath,"Calendar Year (Jan - Dec), 2019",3676,81.8,42.7,84.3,74,46.5,65.1,76.2,91.1,45.1,99.3,25.3,23
India,Assam,Bongaigaon,"Calendar Year (Jan - Dec), 2019",4778,83.35,46.2,84.5,74.9,33.9,71.4,95.3,97,51.2,98.5,41.7,28.6
India,Assam,Cachar,"Calendar Year (Jan - Dec), 2019",3799,80.525,28.7,79.2,74.9,32.7,58.2,43.8,81.7,44,98.2,29.9,25.8
India,Assam,Charaideo,"Calendar Year (Jan - Dec), 2019",4858,89.575,39,88.2,76.7,64.5,72.6,96.4,91.7,61.6,98.7,22.6,26.2
India,Assam,Chirang,"Calendar Year (Jan - Dec), 2019",5052,87.95,42.7,83.7,71.1,56.5,65.7,92.1,97.8,54.1,99.2,30.9,23
