Country,State,District,Year,"Functional Sub Centres (UOM:Number), Scaling Factor:1","Functional Primary Health Centres (Phcs) (UOM:Number), Scaling Factor:1","Functional Community Health Centres (Chcs) (UOM:Number), Scaling Factor:1","Functional Health And Wellness Centres-Sub Centres  (Hwc-Scs) (UOM:Number), Scaling Factor:1","Functional Health And Wellness Centres (Hwc)-Primary Health Centres (Phcs) (UOM:Number), Scaling Factor:1","Functional Sub Divisional Hospitals (Sdhs) (UOM:Number), Scaling Factor:1","Functional District Hospitals (Dhs) (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2019",40,4,1,,,0,1
India,Andaman and Nicobar Islands,North and Middle Andaman,"Financial Year (Apr - Mar), 2019",45,8,2,,,0,1
India,Andaman and Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2019",39,15,1,,,0,1
India,Andaman and Nicobar Islands,Unknown Districts Of India,"Financial Year (Apr - Mar), 2019",5059,838,189,,,2,38
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2019",586,107,15,,,2,1
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2019",644,120,15,,,4,1
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2019",840,142,26,,,3,1
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2019",680,117,18,,,2,1
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2019",593,124,12,,,2,1
India,Andhra Pradesh,Kurnool,"Financial Year (Apr - Mar), 2019",542,110,19,,,1,1
India,Andhra Pradesh,Prakasam,"Financial Year (Apr - Mar), 2019",534,99,15,,,2,1
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Financial Year (Apr - Mar), 2019",477,88,14,,,2,1
India,Andhra Pradesh,Srikakulam,"Financial Year (Apr - Mar), 2019",465,88,15,,,2,1
India,Andhra Pradesh,Visakhapatnam,"Financial Year (Apr - Mar), 2019",583,113,12,,,3,1
India,Andhra Pradesh,Vizianagaram,"Financial Year (Apr - Mar), 2019",431,76,11,,,1,1
India,Andhra Pradesh,West Godavari,"Financial Year (Apr - Mar), 2019",635,112,14,,,3,1
India,Andhra Pradesh,Y.S.R.,"Financial Year (Apr - Mar), 2019",448,89,12,,,1,1
India,Arunachal Pradesh,Anjaw,"Financial Year (Apr - Mar), 2019",8,6,4,,,0,1
